 Column1 ; Fix price per trip ; Price/km ; waiting time per segment (minutes) ; Time/km ; Social Pattern ; Difficulty / per trip ; color ; width ; speed ; weather_coeff 
 walking ; 0 ; 0.001 ; 0.2 ; 15 ; 0.1 ; 0 ; green ; 2 ; 3 ; 0.5 
 bike ; 0 ; 0.01 ; 1 ; 8 ; 0.5 ; 0.1 ; yellow ; 3 ; 5 ; 1 
 eScooter ; 0 ; 0.15 ; 1.5 ;  ; 0.75 ; 0 ; orange ; 4 ; 20 ; 0.8 
 PEV ; 0 ; 0.1 ; 3 ; 6 ; 1 ; 0.3 ; red ; 5 ; 20 ; 0.5 
 Shared Vehicles ; 0 ; 0.7 ; 5 ;  ; 0.5 ; 0.4 ; red ; 5 ; 20 ; 0.1 
 car ; 0 ; 0.32 ; 2.5 ;  ; 1 ; 0.2 ; red ; 5 ; 20 ; 0 
 Motorcycles/scooters ; 0 ; 0.18 ; 2 ;  ; 0.3 ; 0.1 ; orange ; 5 ; 20 ; 0.8 
 Track based vehicles ; 2.5 ; 0 ; 5 ; 2 ; 0.2 ; 0 ; red ; 5 ; 20 ; 0 
 bus ; 0 ; 0 ; 10 ; 3 ; 0.5 ; 0.5 ; blue ; 5 ; 20 ; 0.2 
 Delivery ; 0 ; 0.2 ; 3 ;  ; 1 ; 1 ; red ; 5 ; 20 ; 0.5 
 T ; 0 ; 0 ; 5 ;  ; 0.5 ; 0.5 ; blue ; 5 ; 30 ; 0.1 
